fid,District Name,Area (ha),Crop Area (ha),Flood Area (ha),Flooded Crop Area (ha),Crop area (% of district),Flood Area (% of district),Flooded Crop Area (% of Cropland)
1,Badin,657499.3,454981,159325,80650,69,24.23,18
2,Dadu,801750.7,273763,315194,135050,34,39.31,49
3,Ghotki,636688.7,342175,46631,37094,54,7.32,11
4,Hyderabad,101891,56794,12563,5650,56,12.33,10
5,Jacobabad,269120.1,237675,209013,153481,88,77.67,65
6,Jamshoro,1123086.9,89219,535406,46231,8,47.67,52
7,Qambar-Shahdadkot,559719.6,327550,380413,241200,59,67.96,74
8,Kashmore,261488.9,205938,62044,36444,79,23.73,18
9,Khairpur,1600556,348275,216106,147063,22,13.5,42
10,Larkana,192104.1,169356,128500,101400,88,66.89,60
11,Matiari,145794.1,130844,53381,43888,90,36.61,34
12,Mirpur Khas,346316.2,252331,96400,50619,73,27.84,20
13,Naushahro Feroze,303686.3,274381,140419,113381,90,46.24,41
14,Sanghar,1015832.4,444581,89075,58681,44,8.77,13
15,Shaheed Benazirabad,458223.6,330131,153569,118900,72,33.51,36
16,Shikarpur,255182.9,221813,161969,123056,87,63.47,55
17,Sujawal,868739.3,183075,321688,16731,21,37.03,9
18,Sukkur,517870.5,188381,72506,54288,36,14,29
19,Tando Allahyar,154421.6,132631,12625,8944,86,8.18,7
20,Tando M. Khan,167688.7,139550,10338,4194,83,6.16,3
21,Tharparkar,1968293.9,139956,69619,1731,7,3.54,1
22,Thatta,763045.9,119238,149206,8044,16,19.55,7
23,Umerkot,548958.5,209281,93150,68663,38,16.97,33
24,Karachi,384860.8,22313,83425,244,6,21.68,1
,Total Sindh,14102820,5294232,3572565,1655627,37.54,25.33,31.27
