fid,Tehsil Name,District Name,Area (km2),Area (ha),Flood Pixel Count,Crop Pixel Count,Flooded Crops Pixel Count,Crop Area (km2),Flood Area (km2),Flooded Crop Area (km2),Crop Area (ha),Flood Area (ha),Flooded Crop Area (ha),Flood Area (% of tehsil),Crop Area (% of tehsil),Flooded Crop Area (% of cropland)
1,Badin,Badin,1783.84870478487,178384.87,5913,14386,1060,899.125,369.56,66.25,89912.5,36956,6625,20.72,50,7
2,Matli,Badin,1054.35592564312,105435.593,4347,13670,2586,854.375,271.69,161.63,85437.5,27169,16163,25.77,81,19
3,Shaheed Fazil Rahu,Badin,1814.67985204834,181467.985,11679,22503,7434,1406.4375,729.94,464.63,140643.75,72994,46463,40.22,78,33
4,Talhar,Badin,495.431517728223,49543.152,738,6246,429,390.375,46.13,26.81,39037.5,4613,2681,9.31,79,7
5,Tando Bago,Badin,1426.67686000906,142667.686,2815,15992,1395,999.5,175.94,87.19,99950,17594,8719,12.33,70,9
6,Gulberg Town,Central Karachi,16.8664450466281,1686.645,38,0,0,0,2.38,0,0,238,0,14.11,0,
7,Liaqatabad Town,Central Karachi,9.03317514840828,903.318,52,0,0,0,3.25,0,0,325,0,35.98,0,
8,New Karachi Town,Central Karachi,23.5686718051671,2356.867,50,0,0,0,3.13,0,0,313,0,13.28,0,
9,North Nazimabad Town,Central Karachi,15.6760186673231,1567.602,56,0,0,0,3.5,0,0,350,0,22.33,0,
10,Dadu,Dadu,783.143652408001,78314.365,5686,12370,5009,773.125,355.38,313.06,77312.5,35538,31306,45.38,99,40
11,Johi,Dadu,3629.78590665689,362978.591,19556,9421,2629,588.8125,1222.25,164.31,58881.25,122225,16431,33.67,16,28
12,Khairpur Nathan Shah,Dadu,2611.05010442903,261105.01,14969,9011,5628,563.1875,935.56,351.75,56318.75,93556,35175,35.83,22,62
13,Mehar,Dadu,993.527650087246,99352.765,10220,13000,8342,812.5,638.75,521.38,81250,63875,52138,64.29,82,64
14,Gulshan Iqbal Town,East Karachi,129.798936589787,12979.894,174,36,0,2.25,10.88,0,225,1088,0,8.38,2,0
15,Jamshaid Town,East Karachi,73.1231508190064,7312.315,144,7,0,0.4375,9,0,43.75,900,0,12.31,1,0
16,Daharki,Ghotki,2472.21380356104,247221.38,2524,15341,2263,958.8125,157.75,141.44,95881.25,15775,14144,6.38,39,15
17,Ghotki,Ghotki,839.755991264211,83975.599,1381,12465,873,779.0625,86.31,54.56,77906.25,8631,5456,10.28,93,7
18,Khangarh,Ghotki,1521.36879582758,152136.88,2278,7273,1669,454.5625,142.38,104.31,45456.25,14238,10431,9.36,30,23
19,Mirpur Mathelo,Ghotki,782.290197125321,78229.02,1046,8221,920,513.8125,65.38,57.5,51381.25,6538,5750,8.36,66,11
20,Ubauro,Ghotki,751.258365640123,75125.837,232,11448,210,715.5,14.5,13.13,71550,1450,1313,1.93,95,2
21,Hyderabad,Hyderabad,737.130441730547,73713.044,1396,8240,780,515,87.25,48.75,51500,8725,4875,11.84,70,9
22,Hyderabad City,Hyderabad,71.1304088986315,7113.041,280,189,54,11.8125,17.5,3.38,1181.25,1750,338,24.6,17,29
23,Latifabad,Hyderabad,187.383514932897,18738.351,187,522,25,32.625,11.69,1.56,3262.5,1169,156,6.24,17,5
24,Qasimabad,Hyderabad,23.2656728287091,2326.567,147,136,45,8.5,9.19,2.81,850,919,281,39.5,37,33
25,Garhi Khairo,Jacobabad,733.407544309128,73340.754,9538,10293,6911,643.3125,596.13,431.94,64331.25,59613,43194,81.28,88,67
26,Jacobabad,Jacobabad,679.121260759493,67912.126,8049,9966,6327,622.875,503.06,395.44,62287.5,50306,39544,74.08,92,63
27,Thul,Jacobabad,1278.67180063737,127867.18,15855,17769,11319,1110.5625,990.94,707.44,111056.25,99094,70744,77.5,87,64
28,Kotri,Jamshoro,1469.37482099897,146937.482,9251,2097,1007,131.0625,578.19,62.94,13106.25,57819,6294,39.35,9,48
29,Manjhand,Jamshoro,2168.84404498907,216884.404,21216,3123,2389,195.1875,1326,149.31,19518.75,132600,14931,61.14,9,76
30,Sehwan Sharif,Jamshoro,2339.74997661393,233974.998,19831,7029,3889,439.3125,1239.44,243.06,43931.25,123944,24306,52.97,19,55
31,Thano Bula Khan,Jamshoro,5252.89972548608,525289.973,35367,2026,112,126.625,2210.44,7,12662.5,221044,700,42.08,2,6
32,Meero Khan,Kambar Shahdad Kot,469.824859917097,46982.486,6265,7694,5500,480.875,391.56,343.75,48087.5,39156,34375,83.34,102,71
33,Nasir Abad,Kambar Shahdad Kot,362.570093433189,36257.009,4741,6079,4348,379.9375,296.3125,271.75,37993.75,29631.25,27175,81.7255767551611,105,72
34,Qambar Ali Khan,Kambar Shahdad Kot,2233.90636964911,223390.637,18593,11568,7050,723,1162.06,440.63,72300,116206,44063,52.02,32,61
35,Qubo Saeed Khan,Kambar Shahdad Kot,1033.59536128369,103359.536,11389,7219,6637,451.1875,711.81,414.81,45118.75,71181,41481,68.87,44,92
36,Shahdad Kot,Kambar Shahdad Kot,447.400781884087,44740.078,6720,5672,4542,354.5,420,283.88,35450,42000,28388,93.88,79,80
37,Sijawal Junejo,Kambar Shahdad Kot,289.533146681471,28953.315,3847,4700,3389,293.75,240.44,211.81,29375,24044,21181,83.04,101,72
38,Warah,Kambar Shahdad Kot,760.36521690923,76036.522,9311,9476,7126,592.25,581.94,445.38,59225,58194,44538,76.53,78,75
39,Kandh Kot,Kashmore,642.348828530027,64234.883,3124,6601,1781,412.5625,195.25,111.31,41256.25,19525,11131,30.4,64,27
40,Kashmore,Kashmore,1138.87603815671,113887.604,3562,15484,2582,967.75,222.63,161.38,96775,22263,16138,19.55,85,17
41,Tangwani,Kashmore,833.663869019048,83366.387,3241,10865,1468,679.0625,202.56,91.75,67906.25,20256,9175,24.3,81,14
42,Faiz Ganj,Khairpur,996.378396374181,99637.84,4418,8098,3082,506.125,276.13,192.63,50612.5,27613,19263,27.71,51,38
43,Gambat,Khairpur,571.849278177241,57184.928,4993,7546,3592,471.625,312.06,224.5,47162.5,31206,22450,54.57,82,48
44,Khairpur,Khairpur,483.112322828993,48311.232,2657,3386,1370,211.625,166.06,85.63,21162.5,16606,8563,34.37,44,40
45,Kingri,Khairpur,673.134795915251,67313.48,6346,6673,4092,417.0625,396.63,255.75,41706.25,39663,25575,58.92,62,61
46,Kot Diji,Khairpur,506.72191918805,50672.192,3518,6137,2268,383.5625,219.88,141.75,38356.25,21988,14175,43.39,76,37
47,Nara,Khairpur,11591.4869438163,1159148.694,2665,6713,669,419.5625,166.56,41.81,41956.25,16656,4181,1.44,4,10
48,Sobho Dero,Khairpur,508.804131818631,50880.413,4310,8204,3817,512.75,269.38,238.56,51275,26938,23856,52.94,101,47
49,Thari Meer Wah,Khairpur,674.071712527045,67407.171,5670,8967,4640,560.4375,354.38,290,56043.75,35438,29000,52.57,83,52
50,Korangi Town,Korangi Karachi,65.1113897377342,6511.139,136,23,2,1.4375,8.5,0.13,143.75,850,13,13.05,2,9
51,Landhi Town,Korangi Karachi,22.3547677173702,2235.477,70,23,1,1.4375,4.38,0.06,143.75,438,6,19.59,6,4
52,Shah Faisal Town,Korangi Karachi,16.8257858829463,1682.579,46,21,0,1.3125,2.88,0,131.25,288,0,17.12,8,0
53,Baqrani,Larkana,524.080741139949,52408.074,5979,7723,4856,482.6875,373.69,303.5,48268.75,37369,30350,71.3,92,63
54,Dokri,Larkana,405.331592371098,40533.159,4553,5501,3327,343.8125,284.56,207.94,34381.25,28456,20794,70.2,85,60
55,Larkana,Larkana,400.960044414969,40096.004,4062,5395,3353,337.1875,253.88,209.56,33718.75,25388,20956,63.32,84,62
56,Rato Dero,Larkana,590.668628588504,59066.863,5966,8478,4688,529.875,372.88,293,52987.5,37288,29300,63.13,90,55
57,Bin Qasim Town,Malir Karachi,737.596200088495,73759.62,1653,852,5,53.25,103.31,0.31,5325,10331,31,14.01,7,1
58,Gadap Town,Malir Karachi,1971.78533305418,197178.533,9596,1877,31,117.3125,599.75,1.94,11731.25,59975,194,30.42,6,2
59,Malir Town,Malir Karachi,17.4787320221728,1747.873,4,19,0,1.1875,0.25,0,118.75,25,0,1.43,7,0
60,Hala,Matiari,425.005701152692,42500.57,4803,6058,3934,378.625,300.19,245.88,37862.5,30019,24588,70.63,89,65
61,Matiari,Matiari,712.588879820925,71258.888,2210,9984,1755,624,138.13,109.69,62400,13813,10969,19.38,88,18
62,Saeedabad,Matiari,320.346085125726,32034.609,1528,4893,1333,305.8125,95.5,83.31,30581.25,9550,8331,29.81,95,27
63,Digri,Mirpur Khas,608.149717495586,60814.972,3651,5672,1422,354.5,228.19,88.88,35450,22819,8888,37.52,58,25
64,Hussain Bux Muree,Mirpur Khas,353.447417586941,35344.742,305,4413,98,275.8125,19.06,6.13,27581.25,1906,613,5.39,78,2
65,Jhudo,Mirpur Khas,536.869808920012,53686.981,2673,6915,1797,432.1875,167.06,112.31,43218.75,16706,11231,31.12,81,26
66,Kot Ghulam Muhammad,Mirpur Khas,790.017242525474,79001.724,5507,9181,3125,573.8125,344.19,195.31,57381.25,34419,19531,43.57,73,34
67,Mirpur Khas,Mirpur Khas,110.623324715216,11062.332,74,1102,23,68.875,4.63,1.44,6887.5,463,144,4.19,62,2
68,Shuja Abad,Mirpur Khas,358.31703859004,35831.704,1239,3804,476,237.75,77.44,29.75,23775,7744,2975,21.61,66,13
69,Sindhri,Mirpur Khas,705.737146427148,70573.715,1975,9286,1158,580.375,123.44,72.38,58037.5,12344,7238,17.49,82,12
